username,first_name,last_name,email,is_active,password
t1@urjwan.com,Ahmed,Abdullah,t1@urjwan.com,FALSE,test
t2@urjwan.com,Khalid,Al-Shammari,t2@urjwan.com,TRUE,test
student1@urjwan.com,Abdulaziz,Saeed,student1@urjwan.com,TRUE,test
student2@urjwan.com,Fatima,Al-Harbi,student2@urjwan.com,TRUE,test
student3@urjwan.com,Salem,Al-Mutairi,student3@urjwan.com,TRUE,test
student4@urjwan.com,Rim,Al-Dosari,student4@urjwan.com,TRUE,test
student5@urjwan.com,Sarah,Al-Ghamdi,student5@urjwan.com,TRUE,test
student6@urjwan.com,Mohammed,Al-Qahtani,student6@urjwan.com,TRUE,test
student7@urjwan.com,Ali,Al-Saud,student7@urjwan.com,TRUE,test
student8@urjwan.com,Nayef,Al-Badr,student8@urjwan.com,TRUE,test
student9@urjwan.com,Majed,Al-Enezi,student9@urjwan.com,TRUE,test
student10@urjwan.com,Maha,Al-Shahri,student10@urjwan.com,TRUE,test
student11@urjwan.com,Abdulrahman,Al-Zahrani,student11@urjwan.com,TRUE,test
